Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_def
Rob Holding,Arsenal,Defender,0.1,0.94,12,0,1.2,5.62,4,0.0,0.03,0,0.02,2.9,2.9,0.4,4.2,0,0,0.6715165081141579,0.05703012912482066,0.004261363636363636,0.006020066889632107,,,-1.62
Kieran Tierney,Arsenal,Defender,0.7,0.7,31,0,1.5,6.5,5,0.17,0.3,0,0.11,6.7,6.7,0.4,4.6,1,0,1.7347509792949074,0.09307747489239598,0.05227272727272727,0.03545150501672241,,,-1.5
Benjamin White,Arsenal,Defender,14.9,1.08,129,10,4.3,27.16,21,0.5,1.18,2,0.16,26.3,26.3,0.9,4.9,13,5,7.218802462227196,0.4632352941176471,0.2795454545454546,0.08628762541806019,,,-6.16
Takehiro Tomiyasu,Arsenal,Defender,0.5,0.83,32,0,1.5,8.93,11,0.28,0.24,0,0.06,7.6,7.6,0.0,4.2,2,2,1.790710688304421,0.12284791965566715,0.061505681818181814,0.03678929765886287,,,2.0700000000000003
Gabriel dos Santos Magalhães,Arsenal,Defender,16.1,1.0,127,14,4.2,32.06,29,0.4,4.2,3,0.16,24.0,24.0,0.3,5.3,12,4,7.10688304420817,0.5796269727403156,0.06711647727272728,0.24280936454849497,,,-3.0600000000000023
William Saliba,Arsenal,Defender,19.9,1.01,117,14,4.3,26.86,25,0.45,0.91,2,0.04,22.9,22.9,0.0,5.1,12,4,6.547285954113039,0.47435437589670015,0.0715909090909091,0.07625418060200669,,,-1.8599999999999994
Oleksandr Zinchenko,Arsenal,Defender,14.1,1.08,91,8,4.0,21.64,20,0.44,1.24,1,0.17,17.5,17.5,0.3,5.2,9,2,5.092333519865696,0.32568149210903874,0.25170454545454546,0.12107023411371237,,,-1.6400000000000006
Jakub Kiwior,Arsenal,Defender,0.0,0.0,2,0,1.0,2.0,1,0.0,0.0,0,0.0,0.5,0.5,0.2,4.0,0,0,0.11191941801902631,0.002510760401721664,7.102272727272728e-05,0.0,,,-1.0
Calum Chambers,Aston Villa,Defender,0.2,0.63,9,0,0.9,5.14,4,0.0,0.05,0,0.03,2.1,2.1,0.1,4.2,0,2,0.7234726688102894,0.05308464849354376,0.010014204545454545,0.002006688963210702,,,-1.1399999999999997
Lucas Digne,Aston Villa,Defender,1.3,1.11,44,4,2.0,23.54,24,0.21,0.34,1,0.11,9.6,9.6,0.0,4.6,3,4,3.536977491961415,0.21592539454806314,0.18295454545454548,0.060200668896321065,,3.0,0.46000000000000085
Tyrone Mings,Aston Villa,Defender,9.7,1.0,100,14,3.7,38.41,34,0.37,0.29,0,0.04,22.2,22.2,1.6,4.5,10,4,8.038585209003216,0.4411764705882353,0.05589488636363637,0.04615384615384615,,,-4.409999999999997
