Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Eddie Nketiah,Arsenal,Forward,1.9,0.82,58,5,2.4,7.3,4,0.77,9.1,9.1,0.0,6.4,2,2,3.1746031746031744,0.17702862951041845,0.07411772862788603,0.3802083333333333,,,-3.3
Gabriel Fernando de Jesus,Arsenal,Forward,28.9,1.05,97,13,5.1,11.86,9,0.84,12.0,12.0,0.8,8.1,7,5,5.309250136836344,0.4465526003726919,0.21486514594744505,0.6653645833333333,2.0,,-2.8599999999999994
Ollie Watkins,Aston Villa,Forward,21.1,1.04,155,22,5.2,12.77,14,0.54,20.1,20.1,1.2,7.7,11,2,11.742424242424242,0.6498390648822634,0.23850793870900647,0.7669270833333333,1.0,,1.2300000000000004
Cameron Archer,Aston Villa,Forward,1.8,0.0,6,0,1.0,0.0,0,0.02,1.4,1.4,0.0,4.2,0,0,0.45454545454545453,0.0015246484838217858,0.0016640088747139985,0.00390625,,,0.0
Jhon Durán,Aston Villa,Forward,0.0,0.0,7,0,0.9,0.59,0,0.7,1.3,1.3,0.1,5.5,0,1,0.5303030303030304,0.0045739454514653576,0.0020800110933924983,0.031901041666666664,,,-0.59
Kieffer Moore,Bournemouth,Forward,0.8,0.97,52,3,2.5,3.15,4,0.29,10.4,10.4,0.0,5.0,3,0,4.735883424408015,0.1744875487040488,0.058101643208763785,0.14973958333333331,,,0.8500000000000001
Dominic Solanke,Bournemouth,Forward,2.4,1.01,108,12,4.2,7.75,5,0.38,19.6,19.6,1.1,5.5,7,1,9.836065573770492,0.36422158224631546,0.14629411356860572,0.5572916666666666,1.0,,-2.75
Antoine Semenyo,Bournemouth,Forward,0.0,0.76,11,0,1.2,0.29,0,0.12,2.2,2.2,0.2,5.0,0,0,1.0018214936247722,0.013213620193122142,0.01019205435762324,0.009765625,,,-0.29
Ivan Toney,Brentford,Forward,35.9,1.0,162,31,5.6,18.22,18,0.74,21.0,21.0,0.5,7.7,9,9,11.885546588407923,0.7177706251058784,0.2454413090203148,0.7643229166666666,1.0,,-0.21999999999999886
Bryan Mbeumo,Brentford,Forward,3.6,1.15,104,10,3.4,7.14,5,0.43,17.9,17.9,0.6,5.8,8,4,7.630227439471754,0.36760968998814164,0.4333356444567705,0.4140625,2.0,1.0,-2.1399999999999997
Halil Dervişoğlu,Brentford,Forward,0.5,0.0,4,0,4.0,0.03,0,0.45,0.9,0.9,0.0,4.5,0,0,0.293470286133529,0.0,0.0,0.006510416666666666,,,-0.03
Danny Welbeck,Brighton,Forward,1.0,0.98,67,2,2.9,6.96,4,0.52,10.3,10.3,0.5,6.5,5,0,5.209953343701399,0.22581738099271562,0.19129168688899675,0.41666666666666663,3.0,,-2.96
Deniz Undav,Brighton,Forward,0.2,0.72,17,0,1.3,2.45,0,1.17,3.4,3.4,0.2,5.0,1,0,1.3219284603421462,0.019312214128409284,0.04971226513208071,0.13151041666666666,,,-2.45
Julio Enciso,Brighton,Forward,0.3,0.0,27,5,2.5,1.88,2,0.8,5.9,5.9,1.0,4.6,1,1,2.0995334370139966,0.09588344909368118,0.03737086597795188,0.13541666666666666,,,0.1200000000000001
Evan Ferguson,Brighton,Forward,1.7,1.06,45,5,3.5,3.52,4,0.6,9.8,9.8,0.5,4.6,5,1,3.4992223950233283,0.17211587328477046,0.05629896692782362,0.14973958333333331,,,0.48
Kai Havertz,Chelsea,Forward,4.1,1.06,94,13,3.2,10.4,7,0.52,12.5,12.5,0.4,7.5,9,4,7.800829875518672,0.38539725563272914,0.3384178048949595,0.5872395833333333,1.0,,-3.4000000000000004
Armando Broja,Chelsea,Forward,0.3,0.63,21,0,1.8,0.84,1,0.29,4.0,4.0,0.0,5.2,1,0,1.7427385892116183,0.05471794003049297,0.012618733966581155,0.07356770833333333,,,0.16000000000000003
Pierre-Emerick Aubameyang,Chelsea,Forward,0.7,0.79,23,3,1.8,1.0,1,0.23,2.7,2.7,0.0,8.4,1,1,1.9087136929460582,0.04472302219210571,0.036885530056160305,0.08463541666666666,,,0.0
David Datro Fofana,Chelsea,Forward,0.1,1.5,2,0,1.0,0.57,0,0.89,0.4,0.4,0.0,5.0,0,0,0.16597510373443983,0.009147890902930715,0.01670942245025307,0.016927083333333332,,,-0.57
João Félix Sequeira,Chelsea,Forward,2.4,1.14,29,5,2.6,3.38,2,0.49,3.9,3.9,0.4,7.4,2,0,2.406639004149378,0.11434863628663393,0.08354711225126535,0.150390625,,2.0,-1.38
Odsonne Edouard,Crystal Palace,Forward,1.8,1.02,66,3,2.4,3.86,4,0.27,13.2,13.2,0.6,5.0,4,3,5.699481865284974,0.2617313230560732,0.1426887610067254,0.32421875,3.0,,0.14000000000000012
Jean-Philippe Mateta,Crystal Palace,Forward,0.4,0.78,37,3,1.5,3.07,2,0.42,7.3,7.3,0.4,5.1,3,3,3.1951640759930915,0.09706928680332035,0.045413575539069544,0.15104166666666666,,,-1.0699999999999998
Neal Maupay,Everton,Forward,0.5,0.96,37,3,1.7,4.44,1,0.41,6.5,6.5,0.1,5.7,3,3,3.5852713178294575,0.07267491106217178,0.0733550578936421,0.27018229166666663,,,-3.4400000000000004
Salomón Rondón,Everton,Forward,0.3,0.87,7,0,1.0,0.79,0,0.81,1.4,1.4,0.0,4.9,0,0,0.6782945736434108,0.006267999322378453,0.018096096512514735,0.026692708333333332,,,-0.79
Dominic Calvert-Lewin,Everton,Forward,0.3,1.11,25,2,2.3,3.03,1,0.4,3.2,3.2,0.0,7.9,3,1,2.422480620155039,0.04675588683720143,0.04333356444567705,0.142578125,1.0,,-2.03
Thomas Cannon,Everton,Forward,0.0,0.0,2,0,1.0,0.09,0,0.35,0.4,0.4,0.0,4.5,0,0,0.1937984496124031,0.004235134677282738,0.00804270956111766,0.013671875,,,-0.09
Ellis Simms,Everton,Forward,0.1,0.87,15,0,1.7,0.86,1,0.44,3.3,3.3,0.5,4.5,0,0,1.4534883720930232,0.03455869896662714,0.027178811620328647,0.03515625,,,0.14
Aleksandar Mitrović,Fulham,Forward,12.5,1.04,90,11,4.3,12.54,11,0.68,13.6,13.6,0.0,6.6,7,6,7.371007371007371,0.41216330679315605,0.14684878319351038,0.7018229166666666,1.0,,-1.5399999999999991
Jay Stansfield,Fulham,Forward,0.7,1.06,7,0,2.3,0.25,0,0.29,1.6,1.6,0.0,4.5,0,0,0.5733005733005733,0.007115026257835,0.00887471399847466,0.029947916666666664,,,-0.25
Carlos Vinícius Alves Morais,Fulham,Forward,0.2,0.86,41,5,2.0,1.57,2,0.27,7.6,7.6,0.2,5.4,0,3,3.357903357903358,0.0943588006098594,0.06406434167648895,0.16927083333333331,,,0.42999999999999994
Jamie Vardy,Leicester,Forward,2.0,0.87,60,2,2.0,2.82,1,0.21,6.6,6.6,0.1,9.1,3,1,5.231037489102005,0.15246484838217855,0.094917839561811,0.19140625,1.0,,-1.8199999999999998
Kelechi Iheanacho,Leicester,Forward,1.0,0.76,66,7,2.8,5.49,4,0.7,11.2,11.2,0.3,5.9,0,0,5.754141238012206,0.21650008470269355,0.1344380503362685,0.23046875,3.0,,-1.4900000000000002
Patson Daka,Leicester,Forward,0.8,1.12,60,3,2.5,2.85,4,0.39,10.7,10.7,0.3,5.6,5,2,5.231037489102005,0.21582246315432832,0.12008597379186023,0.2265625,,,1.15
Patrick Bamford,Leeds,Forward,0.5,1.04,53,3,2.4,6.29,3,0.55,7.5,7.5,0.3,7.1,1,2,4.925650557620818,0.1694053870913095,0.09602717881162033,0.30338541666666663,1.0,,-3.29
Sam Greenwood,Leeds,Forward,9.5,0.55,27,1,1.8,0.61,1,0.46,6.8,6.8,0.0,4.0,0,1,2.509293680297398,0.09876334067423344,0.1428967621160646,0.0546875,,2.0,0.39
Joe Gelhardt,Leeds,Forward,0.2,0.45,20,0,1.3,0.84,0,0.56,3.9,3.9,0.0,5.1,0,1,1.858736059479554,0.041843130611553446,0.02225611869929973,0.07421875,,,-0.84
Wilfried Gnonto,Leeds,Forward,0.8,0.99,46,6,2.7,1.35,2,0.25,9.6,9.6,0.2,4.8,4,5,4.275092936802974,0.1926139251228189,0.182347639187409,0.13541666666666666,,6.0,0.6499999999999999
Mateo Joseph Fernández,Leeds,Forward,0.0,0.0,3,0,1.0,0.06,0,0.22,0.7,0.7,0.0,4.5,0,0,0.2788104089219331,0.0025410808063696427,0.00013866740622616656,0.012369791666666666,,,-0.06
Georginio Rutter,Leeds,Forward,0.0,0.43,10,0,1.1,0.31,0,0.2,2.0,2.0,0.1,5.1,0,0,0.929368029739777,0.028629510418431307,0.01927476946543715,0.025390625,,,-0.31
Roberto Firmino,Liverpool,Forward,2.7,0.96,91,10,4.1,4.7,9,0.54,11.4,11.4,0.3,8.0,4,0,6.760772659732541,0.42825681856683046,0.20217707827775086,0.46875,,,4.3
Diogo Teixeira da Silva,Liverpool,Forward,0.4,0.94,28,0,2.2,2.24,0,0.46,3.2,3.2,0.3,8.7,4,1,2.080237741456166,0.0994409622225987,0.11786729529224158,0.1015625,,,-2.24
Darwin Núñez Ribeiro,Liverpool,Forward,8.1,1.04,85,8,3.7,10.72,8,0.82,9.8,9.8,0.1,8.7,5,1,6.315007429420505,0.35710655598848046,0.2068224363863274,0.6686197916666666,,,-2.7200000000000006
