Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,form,saves,saves_per_90,expected_goals_conceded,goals_conceded,clean_sheets_per_90,value_season,value_season,value_form,now_cost,clean_sheets,penalties_saved,yellow_cards,%of_team_points,performance_xG_def
Aaron Ramsdale,Arsenal,Goalkeeper,11.5,1.0,116,6,3.9,2.3,73,2.43,32.24,29,0.4,23.7,23.7,0.5,4.9,12,0,1,6.491326245103525,-3.240000000000002
Emiliano Martínez Romero,Aston Villa,Goalkeeper,6.4,1.02,111,15,4.0,7.5,80,2.92,37.09,33,0.33,22.2,22.2,1.5,5.0,9,1,5,8.922829581993568,-4.090000000000003
Robin Olsen,Aston Villa,Goalkeeper,1.5,0.77,9,1,3.0,0.0,9,3.45,6.06,7,0.38,2.3,2.3,0.0,3.9,1,0,0,0.7234726688102894,0.9400000000000004
Mark Travers,Bournemouth,Goalkeeper,0.4,0.95,25,1,2.3,0.0,31,2.95,18.68,31,0.19,6.0,6.0,0.0,4.2,2,0,0,2.378686964795433,12.32
Norberto Murara Neto,Bournemouth,Goalkeeper,0.5,1.03,72,8,3.6,3.8,72,3.69,33.72,26,0.26,16.0,16.0,0.8,4.5,5,0,4,6.850618458610846,-7.719999999999999
David Raya Martin,Brentford,Goalkeeper,16.5,1.0,128,16,4.3,3.2,124,4.13,40.66,40,0.3,26.1,26.1,0.7,4.9,9,0,1,9.566517189835576,-0.6599999999999966
Jason Steele,Brighton,Goalkeeper,3.1,1.0,28,3,4.7,5.2,13,2.17,7.37,7,0.5,7.2,7.2,1.3,3.9,3,0,1,2.245388933440257,-0.3700000000000001
Robert Sánchez,Brighton,Goalkeeper,8.7,1.0,81,10,3.7,0.0,47,2.14,27.0,29,0.27,18.0,18.0,0.0,4.5,6,1,1,6.495589414595028,2.0
Kepa Arrizabalaga,Chelsea,Goalkeeper,9.5,1.02,99,13,4.5,3.0,64,2.98,23.72,19,0.42,21.1,21.1,0.6,4.7,9,0,1,8.439897698209718,-4.719999999999999
Edouard Mendy,Chelsea,Goalkeeper,5.9,0.94,23,0,2.6,0.0,25,2.94,12.61,12,0.12,4.8,4.8,0.0,4.8,1,0,1,1.9607843137254901,-0.6099999999999994
Vicente Guaita,Crystal Palace,Goalkeeper,1.6,1.0,99,10,3.7,0.5,85,3.15,38.2,34,0.22,22.5,22.5,0.1,4.4,6,0,1,9.107635694572217,-4.200000000000003
Sam Johnstone,Crystal Palace,Goalkeeper,0.1,1.0,4,0,4.0,1.0,7,7.0,0.89,1,0.0,0.9,0.9,0.2,4.4,0,0,0,0.36798528058877644,0.10999999999999999
Joseph Whitworth,Crystal Palace,Goalkeeper,0.1,1.0,3,0,1.5,0.8,5,2.5,2.07,5,0.0,0.8,0.8,0.2,4.0,0,0,0,0.27598896044158233,2.93
Asmir Begović,Everton,Goalkeeper,0.8,1.0,9,2,9.0,0.0,4,4.0,1.04,0,1.0,2.3,2.3,0.0,3.9,1,0,0,0.8964143426294822,-1.04
Jordan Pickford,Everton,Goalkeeper,5.7,1.0,93,7,3.2,2.7,102,3.52,52.13,43,0.21,21.1,21.1,0.6,4.4,6,0,5,9.262948207171315,-9.130000000000003
Bernd Leno,Fulham,Goalkeeper,3.4,1.0,108,14,4.0,2.5,109,4.04,47.84,38,0.26,23.5,23.5,0.5,4.6,7,0,2,9.222886421861656,-9.840000000000003
Marek Rodák,Fulham,Goalkeeper,0.2,1.0,7,0,3.5,0.0,2,1.0,2.12,2,0.5,1.6,1.6,0.0,4.3,1,0,0,0.5977796754910333,-0.1200000000000001
Danny Ward,Leicester,Goalkeeper,22.4,1.0,91,12,3.5,0.0,77,2.96,42.87,46,0.23,23.3,23.3,0.0,3.9,6,1,0,8.09608540925267,3.1300000000000026
Daniel Iversen,Leicester,Goalkeeper,3.6,1.0,9,0,2.2,2.2,18,4.5,6.18,6,0.0,2.4,2.4,0.6,3.8,0,0,0,0.800711743772242,-0.17999999999999972
Illan Meslier,Leeds,Goalkeeper,1.9,1.0,85,7,2.8,1.0,85,2.83,48.83,54,0.17,18.9,18.9,0.2,4.5,5,0,3,7.899628252788105,5.170000000000002
Alisson Ramses Becker,Liverpool,Goalkeeper,14.9,1.0,128,10,4.4,3.0,87,3.0,42.28,35,0.38,23.7,23.7,0.6,5.4,11,1,0,9.50965824665676,-7.280000000000001
Ederson Santana de Moraes,Man City,Goalkeeper,13.4,1.0,102,6,3.5,2.0,36,1.24,22.79,27,0.34,18.9,18.9,0.4,5.4,10,0,2,6.530089628681178,4.210000000000001
David De Gea Quintana,Man Utd,Goalkeeper,11.7,1.0,118,5,4.1,4.7,77,2.66,37.85,37,0.45,23.6,23.6,0.9,5.0,13,0,0,8.58806404657933,-0.8500000000000014
Martin Dubravka,Newcastle,Goalkeeper,0.4,0.0,8,1,8.0,0.0,5,6.82,1.12,0,1.36,2.0,2.0,0.0,4.1,1,0,0,0.53156146179402,-1.12
Nick Pope,Newcastle,Goalkeeper,20.8,1.03,130,12,4.5,5.2,67,2.37,31.19,21,0.46,24.1,24.1,1.0,5.4,13,1,3,8.637873754152823,-10.190000000000001
Dean Henderson,Nott'm Forest,Goalkeeper,5.6,1.0,82,12,4.6,0.0,54,3.0,26.97,31,0.33,17.8,17.8,0.0,4.6,6,2,2,7.6923076923076925,4.030000000000001
