Player,team,chance_of_playing_this_round,news
Mohamed Elneny,Arsenal,0.0,Knee injury - Unknown return date
Takehiro Tomiyasu,Arsenal,0.0,Knee injury - Expected back 01 Jul
William Saliba,Arsenal,0.0,Muscle injury - Unknown return date
Philippe Coutinho Correia,Aston Villa,0.0,Hamstring injury - Expected back 22 Apr
Matty Cash,Aston Villa,0.0,Calf injury - Expected back 22 Apr
Leon Bailey,Aston Villa,0.0,Hamstring injury - Unknown return date
Boubacar Kamara,Aston Villa,0.0,Ankle injury - Expected back 22 Apr
Junior Stanislas,Bournemouth,0.0,Knock - Unknown return date
Ryan Fredericks,Bournemouth,0.0,Calf injury - Unknown return date
Hamed Traorè,Bournemouth,0.0,Knock - Unknown return date
Pontus Jansson,Brentford,0.0,Hamstring injury - Expected back 01 Jul
Kristoffer Ajer,Brentford,0.0,Calf injury - Unknown return date
Keane Lewis-Potter,Brentford,0.0,Knee injury - Expected back 06 May
Adam Lallana,Brighton,0.0,Muscle injury - Expected back 28 May
Tariq Lamptey,Brighton,0.0,Knee injury - Unknown return date
Enock Mwepu,Brighton,0.0,Retired due to hereditary heart condition
Jeremy Sarmiento Morante,Brighton,0.0,Foot injury - Expected back 28 May
Levi Colwill,Brighton,0.0,
Armando Broja,Chelsea,0.0,Knee injury - Expected back 01 Jul
Kalidou Koulibaly,Chelsea,0.0,Hamstring injury - Unknown return date
Vicente Guaita,Crystal Palace,0.0,Calf injury - Expected back 29 Apr
Nathaniel Clyne,Crystal Palace,0.0,Knee injury - Unknown return date
Wilfried Zaha,Crystal Palace,0.0,Groin Injury - Expected back 29 Apr
Salomón Rondón,Everton,0.0,Contract ended
Seamus Coleman,Everton,0.0,Hamstring injury - Unknown return date
Abdoulaye Doucouré,Everton,0.0,Suspended until 27 Apr
Nathaniel Chalobah,Fulham,0.0,Transferred to West Bromwich Albion
Aleksandar Mitrović,Fulham,0.0,Suspended until 13 May
Josh Onomah,Fulham,0.0,Contract ended
Layvin Kurzawa,Fulham,0.0,Knee injury - Unknown return date
Ricardo Barbosa Pereira,Leicester,0.0,Hamstring injury - Unknown return date
Harvey Barnes,Leicester,0.0,Hamstring injury - Expected back 22 Apr
James Justin,Leicester,0.0,Achilles injury - Expected back 01 Jul
Mateusz Klich,Leeds,0.0,Transferred to DC United
Tyler Adams,Leeds,0.0,Hamstring injury - Unknown return date
Naby Keita,Liverpool,0.0,Muscle injury - Expected back 28 May
Stefan Bajcetic,Liverpool,0.0,Thigh injury - Expected back 01 Jul
Phil Foden,Man City,0.0,Abdominal injury - Unknown return date
Cristiano Ronaldo dos Santos Aveiro,Man Utd,0.0,Left club by mutual agreement
Raphaël Varane,Man Utd,0.0,Knock - Unknown return date
Marcus Rashford,Man Utd,0.0,Groin Injury - Expected back 27 Apr
Donny van de Beek,Man Utd,0.0,Knee injury - Expected back 01 Jul
Lisandro Martínez,Man Utd,0.0,Foot injury - Expected back 01 Jul
Alejandro Garnacho,Man Utd,0.0,Ankle injury - Expected back 28 May
Emil Krafth,Newcastle,0.0,Knee injury - Expected back 28 May
Allan Saint-Maximin,Newcastle,0.0,Hamstring injury - Expected back 30 Apr
Chris Wood,Nott'm Forest,0.0,Thigh injury - Expected back 01 Jul
Alex Mighten,Nott'm Forest,0.0,Joined Sheffield Wednesday on loan - Expected back 01 Jul
Dean Henderson,Nott'm Forest,0.0,Thigh injury - Expected back 22 Apr
Giulian Biancone,Nott'm Forest,0.0,Knee injury - Expected back 01 Jul
Willy Boly,Nott'm Forest,0.0,Hamstring injury - Expected back 20 May
Oriol Romeu Vidal,Southampton,0.0,Transferred to Girona
Nathan Redmond,Southampton,0.0,Transferred to Besiktas
Che Adams,Southampton,0.0,Calf injury - Expected back 30 Apr
Yan Valery,Southampton,0.0,Transferred to Angers
Mohammed Salisu,Southampton,0.0,Hip injury - Unknown return date
Juan Larios López,Southampton,0.0,Muscle injury - Expected back 01 Jul
Mislav Orsic,Southampton,0.0,Hip injury - Unknown return date
Matt Doherty,Spurs,0.0,Contract ended
Lucas Rodrigues Moura da Silva,Spurs,0.0,Suspended until 27 Apr
Ben Davies,Spurs,0.0,Hamstring injury - Expected back 30 Apr
Ryan Sessegnon,Spurs,0.0,Hamstring injury - Unknown return date
Rodrigo Bentancur,Spurs,0.0,Knee injury - Expected back 13 Aug
Yves Bissouma,Spurs,0.0,Ankle injury - Unknown return date
Emerson Leite de Souza Junior,Spurs,0.0,Knee injury - Expected back 06 May
Gianluca Scamacca,West Ham,0.0,Knee injury - Unknown return date
Jonathan Castro Otto,Wolves,0.0,
Rúben da Silva Neves,Wolves,0.0,
Connor Ronan,Wolves,0.0,Transferred to Colorado Rapids
Sasa Kalajdzic,Wolves,0.0,Knee injury - Expected back 01 Jun
