Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Granit Xhaka,Arsenal,Midfielder,2.6,1.06,116,11,3.9,29.31,27,0.4,2.92,5,0.24,23.7,23.7,1.3,4.9,11,4,6.491326245103525,0.4962338593974175,0.4114346590909091,0.2836120401337793,,,2.08
Mohamed Elneny,Arsenal,Midfielder,0.6,0.81,6,0,1.2,1.29,2,0.0,0.0,0,0.03,1.5,1.5,0.0,4.1,0,0,0.33575825405707893,0.004124820659971305,0.003835227272727273,0.0,,,0.0
Thomas Partey,Arsenal,Midfielder,0.4,1.03,75,6,3.0,25.17,16,0.45,2.37,3,0.18,16.0,16.0,0.4,4.7,10,2,4.196978175713487,0.41553084648493543,0.25816761363636365,0.14448160535117055,,,0.6299999999999999
Martin Ødegaard,Arsenal,Midfielder,29.5,1.05,161,22,5.6,28.98,27,0.4,7.88,10,0.53,24.0,24.0,0.5,6.7,11,4,9.009513150531617,0.6605093256814921,0.67578125,0.49765886287625416,,3.0,2.12
Emile Smith Rowe,Arsenal,Midfielder,0.4,0.0,12,0,1.3,1.66,2,0.0,0.25,0,0.6,2.1,2.1,0.1,5.6,0,0,0.6715165081141579,0.03210186513629842,0.045099431818181816,0.02608695652173913,,,-0.25
Bukayo Saka,Arsenal,Midfielder,40.9,1.03,172,16,5.7,30.33,29,0.39,9.13,12,0.51,20.0,20.0,0.8,8.6,11,6,9.625069949636261,0.7627331420373027,0.65546875,0.6448160535117057,1.0,1.0,2.869999999999999
Gabriel Martinelli Silva,Arsenal,Midfielder,41.1,1.07,175,16,5.8,29.36,24,0.48,8.44,14,0.52,26.1,26.1,1.2,6.7,13,3,9.7929490766648,0.6666068866571019,0.490625,0.7919732441471572,3.0,4.0,5.5600000000000005
Reiss Nelson,Arsenal,Midfielder,0.0,0.0,32,5,8.0,0.6,0,0.87,0.73,3,0.94,6.8,6.8,0.0,4.7,1,0,1.790710688304421,0.14293400286944047,0.059588068181818186,0.07826086956521738,,,2.27
Fábio Ferreira Vieira,Arsenal,Midfielder,0.1,0.45,36,2,2.0,4.21,3,0.45,0.76,1,0.41,6.4,6.4,0.1,5.6,2,0,2.0145495243424736,0.09648493543758967,0.09495738636363636,0.07558528428093646,,,0.24
Marcus Oliveira Alencar,Arsenal,Midfielder,0.1,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.6,0,0,0.05595970900951316,0.0,0.00014204545454545457,0.0,,,0.0
Leandro Trossard,Arsenal,Midfielder,8.4,1.11,133,8,4.8,26.81,32,0.34,5.91,8,0.5,19.9,19.9,0.6,6.7,7,1,7.442641298265248,0.5227761836441894,0.4102982954545455,0.5377926421404682,,2.0,2.09
Jorge Luiz Frello Filho,Arsenal,Midfielder,1.9,1.03,63,5,2.5,20.15,19,0.38,1.8,2,0.14,11.1,11.1,0.1,5.7,7,4,3.5254616675993287,0.28353658536585363,0.1442471590909091,0.0608695652173913,,,0.19999999999999996
Ethan Nwaneri,Arsenal,Midfielder,0.0,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.05595970900951316,0.0,0.0,0.0,,,0.0
Philippe Coutinho Correia,Aston Villa,Midfielder,2.9,0.81,32,1,1.6,8.11,9,0.35,1.37,1,0.24,4.8,4.8,0.0,6.6,3,3,2.572347266881029,0.10688665710186514,0.10830965909090909,0.14581939799331103,2.0,5.0,-0.3700000000000001
Bertrand Traoré,Aston Villa,Midfielder,0.1,0.0,17,1,4.2,0.71,0,0.76,0.66,2,0.55,3.5,3.5,0.8,4.9,1,0,1.3665594855305467,0.06438307030129124,0.015625,0.03411371237458194,,,1.3399999999999999
Morgan Sanson,Aston Villa,Midfielder,0.2,0.0,2,0,1.0,0.4,1,0.0,0.0,0,0.0,0.5,0.5,0.0,4.3,0,0,0.1607717041800643,0.0037661406025824963,0.0003551136363636364,0.0,,,0.0
John McGinn,Aston Villa,Midfielder,0.6,1.0,71,3,2.7,28.86,25,0.37,1.87,1,0.21,13.9,13.9,0.7,5.1,8,5,5.707395498392283,0.2745695839311334,0.17933238636363638,0.1826086956521739,,2.0,-0.8700000000000001
