Player,team,penalties_order
Bukayo Saka,Arsenal,1.0
Gabriel Fernando de Jesus,Arsenal,2.0
Philippe Coutinho Correia,Aston Villa,2.0
Ollie Watkins,Aston Villa,1.0
Junior Stanislas,Bournemouth,2.0
Dominic Solanke,Bournemouth,1.0
Ivan Toney,Brentford,1.0
Bryan Mbeumo,Brentford,2.0
Pascal Groß,Brighton,2.0
Alexis Mac Allister,Brighton,1.0
Kai Havertz,Chelsea,1.0
Reece James,Chelsea,2.0
Luka Milivojevic,Crystal Palace,2.0
Wilfried Zaha,Crystal Palace,1.0
Dominic Calvert-Lewin,Everton,1.0
Aleksandar Mitrović,Fulham,1.0
Andreas Hoelgebaum Pereira,Fulham,2.0
Jamie Vardy,Leicester,1.0
Youri Tielemans,Leicester,2.0
Patrick Bamford,Leeds,1.0
James Milner,Liverpool,1.0
Mohamed Salah,Liverpool,2.0
Riyad Mahrez,Man City,2.0
Erling Haaland,Man City,1.0
Bruno Borges Fernandes,Man Utd,2.0
Anthony Martial,Man Utd,1.0
Callum Wilson,Newcastle,1.0
Alexander Isak,Newcastle,2.0
Brennan Johnson,Nott'm Forest,1.0
André Ayew,Nott'm Forest,2.0
James Ward-Prowse,Southampton,1.0
Harry Kane,Spurs,1.0
Manuel Lanzini,West Ham,1.0
Saïd Benrahma,West Ham,2.0
Raúl Jiménez,Wolves,1.0
Rúben da Silva Neves,Wolves,2.0
