team_name,team_total_points,team_bonus,team_goals_scored,team_assists,team_expected_goals,team_expected_assists,team_performance_xG,team_performance_xGa
Arsenal,1827,166,80,65,69.34,40.77,10.659999999999997,24.229999999999997
Man City,1618,153,76,70,65.0,45.63,11.0,24.369999999999997
Newcastle,1525,129,47,40,53.02,34.37,-6.020000000000003,5.630000000000003
Man Utd,1444,124,44,41,50.76,33.54,-6.759999999999998,7.460000000000001
Spurs,1411,114,55,46,45.85,28.04,9.149999999999999,17.96
Brentford,1363,101,46,39,47.269999999999996,25.04,-1.269999999999996,13.96
Liverpool,1346,99,46,43,52.88,38.26,-6.880000000000003,4.740000000000002
Aston Villa,1320,112,36,38,35.62,24.12,0.38000000000000256,13.879999999999999
Brighton,1286,110,42,45,49.15,32.54,-7.149999999999999,12.46
Fulham,1221,87,39,34,38.22,18.35,0.7800000000000011,15.649999999999999
Chelsea,1205,94,28,26,38.71,27.18,-10.71,-1.1799999999999997
West Ham,1167,89,34,26,45.2,20.22,-11.200000000000003,5.780000000000001
Crystal Palace,1158,74,29,26,30.68,17.53,-1.6799999999999997,8.469999999999999
Leicester,1147,64,39,37,37.79,21.36,1.2100000000000009,15.64
Wolves,1142,85,24,18,30.71,17.68,-6.710000000000001,0.3200000000000003
Bournemouth,1098,81,31,25,31.740000000000002,19.93,-0.740000000000002,5.07
Nott'm Forest,1085,84,25,20,33.59,17.35,-8.590000000000003,2.6499999999999986
Leeds,1076,65,37,34,38.54,21.0,-1.5399999999999991,13.0
Everton,1032,73,20,23,31.75,20.01,-11.75,2.9899999999999984
Southampton,992,57,24,20,29.74,21.08,-5.739999999999998,-1.0799999999999983
